"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-GR-BC034","10","001",-315,-86,-94,0,0,0,0,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","13","001",1056,289,295,NA,NA,NA,NA,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC034","17","001",-1047,-479,-416,17.2,2.7,14.5,0,"JP","GR","B","CP","034","FI","3"
"JP-GR-BC036","06","001",0,0,0,22,2.3,19.7,0,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","07","001",4952,2682,1835,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","08","001",579,398,199,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","09","001",1306,434,351,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","10","001",2817,1240,938,0,0,0,0,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","13","001",-1943,-834,-470,NA,NA,NA,NA,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC036","17","001",-2479,-848,-725,0.8,0,0.8,0,"JP","GR","B","CP","036","FI","2"
"JP-GR-BC037","06","001",0,0,0,54.1,21.7,32.4,0,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","07","001",957,376,360,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","08","001",84,50,38,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","09","001",153,44,50,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","10","001",240,18,59,0,0,0,0,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","13","001",365,64,95,NA,NA,NA,NA,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC037","17","001",-371,-116,-107,16.4,1.1,15.3,0,"JP","GR","B","CP","037","FI","3"
"JP-GR-BC038","06","001",0,0,0,42.3,13.2,29.1,0,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","07","001",806,391,311,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","08","001",229,275,160,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","09","001",370,331,200,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","10","001",644,229,211,0,0,0,0,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","13","001",923,285,269,NA,NA,NA,NA,"JP","GR","B","CP","038","FI","3"
"JP-GR-BC038","17","001",-1530,-257,-416,23.2,4.9,18.3,0,"JP","GR","B","CP","038","FI","3"
"JP-GR-CC003","06","001",0,0,0,42.3,14.4,27.9,0,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","07","001",1105,420,360,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","08","001",-442,-189,-164,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","09","001",739,460,329,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","10","001",587,92,136,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","12","001",1232,191,314,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","13","001",1338,138,278,NA,NA,NA,NA,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC003","17","001",930,200,271,45.9,16.9,29,0,"JP","GR","C","CP","003","CO","3"
"JP-GR-CC004","06","001",0,0,0,22.6,9.6,13,0,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","07","001",604,236,137,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","08","001",-340,-171,-108,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","09","001",589,473,289,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","10","001",683,307,167,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","12","001",-667,-183,-153,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","13","001",372,116,95,NA,NA,NA,NA,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC004","17","001",-174,-60,-41,27.3,11.1,16.2,0,"JP","GR","C","CP","004","CO","3"
"JP-GR-CC006","06","001",0,0,0,25.8,5.4,20.4,0,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","07","001",1090,439,265,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","08","001",1186,538,333,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","09","001",-1157,-567,-305,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","10","001",1384,582,388,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","12","001",1151,527,319,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","13","001",2235,250,432,NA,NA,NA,NA,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC006","17","001",-866,-400,-289,28.3,6.8,21.5,0,"JP","GR","C","CP","006","CO","2"
"JP-GR-CC007","06","001",0,0,0,37.8,15.3,22.5,0,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","07","001",-480,-204,-171,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","08","001",-129,-69,-54,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","09","001",74,60,34,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","10","001",88,49,26,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","12","001",88,14,10,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","13","001",71,11,17,NA,NA,NA,NA,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC007","17","001",NA,NA,NA,41.6,17,24.6,0,"JP","GR","C","CP","007","CO","3"
"JP-GR-CC008","06","001",0,0,0,33.9,14.6,19.3,0,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","07","001",-981,-400,-308,NA,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","08","001",-370,-182,-101,NA,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","09","001",1151,397,382,NA,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","10","001",810,212,204,NA,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","12","001",-705,-243,-176,NA,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","13","001",-634,-159,-183,NA,NA,NA,NA,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC008","17","001",-60,-19,0,30.9,14.2,16.7,0,"JP","GR","C","CP","008","CO","2"
"JP-GR-CC013","06","001",0,0,0,49.8,16.5,33.3,0,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","07","001",1535,393,450,NA,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","08","001",1194,565,438,NA,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","09","001",1615,745,593,NA,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","10","001",855,521,369,NA,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","12","001",1947,437,509,NA,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","13","001",-583,-225,-226,NA,NA,NA,NA,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC013","17","001",-516,-137,-139,55.1,15.8,39.3,0,"JP","GR","C","CP","013","CO","3"
"JP-GR-CC016","06","001",0,0,0,36.6,9.2,27.4,0,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","07","001",-5122,-1597,-1708,NA,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","08","001",-1150,-580,-403,NA,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","09","001",-1437,-2113,-1029,NA,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","10","001",-1785,-611,-550,NA,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","12","001",-1815,-580,-537,NA,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","13","001",2567,299,524,NA,NA,NA,NA,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC016","17","001",1130,471,413,36.1,7.9,27.7,0.5,"JP","GR","C","CP","016","CO","3"
"JP-GR-CC017","06","001",0,0,0,16.1,6,10.1,0,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","07","001",-1609,-733,-494,NA,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","08","001",-821,-448,-247,NA,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","09","001",-768,-505,-232,NA,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","10","001",-923,-532,-292,NA,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","12","001",-767,-278,-205,NA,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","13","001",1240,241,162,NA,NA,NA,NA,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC017","17","001",-623,-301,-249,20.7,6.7,14,0,"JP","GR","C","CP","017","CO","2"
"JP-GR-CC018","06","001",0,0,0,54.1,11.8,42.3,0,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","07","001",1168,411,358,NA,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","08","001",699,544,348,NA,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","09","001",1133,418,391,NA,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","10","001",1407,844,586,NA,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","12","001",1160,381,365,NA,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","13","001",1025,189,258,NA,NA,NA,NA,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC018","17","001",-769,-318,-269,60.3,14.7,45.6,0,"JP","GR","C","CP","018","CO","3"
"JP-GR-CC027","06","001",0,0,0,27.9,12.8,15.1,0,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","07","001",-1379,-883,-628,NA,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","08","001",-732,-509,-324,NA,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","09","001",-1199,-1155,-671,NA,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","10","001",1996,370,496,NA,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","12","001",1890,934,739,NA,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","13","001",-622,-121,-134,NA,NA,NA,NA,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC027","17","001",-327,-308,-167,38.9,19.8,19.1,0,"JP","GR","C","CP","027","CO","2"
"JP-GR-CC029","06","001",0,0,0,6.9,1.2,5.7,0,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","07","001",4333,2552,1915,NA,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","08","001",3529,2056,1537,NA,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","09","001",-3085,-1916,-1341,NA,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","10","001",9611,4197,3694,NA,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","12","001",7706,3942,3164,NA,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","13","001",5433,1347,1568,NA,NA,NA,NA,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC029","17","001",-8918,-2735,-3074,7.4,1.3,6.1,0,"JP","GR","C","CP","029","CO","1"
"JP-GR-CC031","06","001",0,0,0,12.5,6.8,5.7,0,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","07","001",7573,2606,2438,NA,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","08","001",5917,2180,2006,NA,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","09","001",7475,2014,2212,NA,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","10","001",7525,1762,2003,NA,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","12","001",-10446,-3855,-3569,NA,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
"JP-GR-CC031","13","001",7425,1424,1679,NA,NA,NA,NA,"JP","GR","C","CP","031","CO","1"
