subplot_id,sp_phase,year,speriod,can_cover_pt_tree,can_cover_pt_shrub,can_cover_pt_pgrass,can_cover_pt_pforb,can_cover_pt_agrass,can_cover_pt_aforb,can_cover_pt_forb,rcode,scode,pcode,ptype,sp_number,treatment
PJ-SR-BC029,3,9,1,26,0,2,0,0,12,0,PJ,SR,B,CP,29,FI
PJ-SR-BC030,3,9,1,9.7,0.7,2.3,0.7,0.3,10.3,0,PJ,SR,B,CP,30,FI
PJ-SR-BC037,3,9,1,17.7,0,0.3,0,0,1.7,0,PJ,SR,B,CP,37,FI
PJ-SV-BC016,3,9,1,9.7,3.3,0,0.3,0,0.3,0,PJ,SV,B,CP,16,FI
PJ-SV-BC032,3,9,1,5.3,0,0,0,0,9.3,0,PJ,SV,B,CP,32,FI
PJ-SV-BC037,3,9,1,8.7,0,0,0,0,11.3,0,PJ,SV,B,CP,37,FI
PJ-SV-BC040,3,9,1,6.7,1,0.3,2.7,0,19,0,PJ,SV,B,CP,40,FI
PJ-MC-MC006,1,9,1,0.7,34,27,7.3,0,3.3,0.3,PJ,MC,M,CP,6,ME
PJ-MC-MC013,1,9,1,0,28.3,21.3,3.7,3,5.3,0,PJ,MC,M,CP,13,ME
PJ-MC-MC018,1,9,1,0.3,27,30.3,6.3,0,1,0,PJ,MC,M,CP,18,ME
PJ-MC-MC028,1,9,1,1.7,21.3,21,4.7,0.3,4.7,0,PJ,MC,M,CP,28,ME
PJ-SV-MC035,1,9,1,2,22.7,14,6.7,0,4,0,PJ,SV,M,CP,35,ME
PJ-SV-MC038,1,9,1,0.7,16.3,16.7,11,0,2.3,0,PJ,SV,M,CP,38,ME
PJ-SV-MC039,1,9,1,0.3,18,14.3,14,0,1.7,0,PJ,SV,M,CP,39,ME
PJ-MC-MC004,2,9,1,0,16.3,18.7,4.3,6.7,3,0,PJ,MC,M,CP,4,ME
PJ-MC-MC009,2,9,1,0,19.3,25.7,4.3,0,3.3,0,PJ,MC,M,CP,9,ME
PJ-MC-MC019,2,9,1,0.3,13.7,27,6.7,0,1.3,0,PJ,MC,M,CP,19,ME
PJ-MC-MC020,2,9,1,0.7,16.3,25.7,3.7,0.3,4.3,0,PJ,MC,M,CP,20,ME
PJ-MC-MC021,2,9,1,0,25,24,3,0,5,0,PJ,MC,M,CP,21,ME
PJ-MC-MC023,2,9,1,1,26,20.3,4.7,2.7,3.3,0,PJ,MC,M,CP,23,ME
PJ-MC-MC024,2,9,1,0,20,26.7,4,1.7,4.7,0,PJ,MC,M,CP,24,ME
PJ-MC-MC025,2,9,1,0,24,8,2.7,1.3,2.3,0,PJ,MC,M,CP,25,ME
PJ-MC-MC031,2,9,1,0.3,18,23,4,0.3,2.7,0,PJ,MC,M,CP,31,ME
PJ-MC-MC033,2,9,1,0,13.7,15.7,4.3,1,4.3,0,PJ,MC,M,CP,33,ME
PJ-MC-MC035,2,9,1,0.7,23.7,20.3,2,1.3,4.3,0,PJ,MC,M,CP,35,ME
PJ-MC-MC039,2,9,1,0,11,22.3,3.7,3.7,5.7,0,PJ,MC,M,CP,39,ME
PJ-SV-MC009,2,9,1,0,15,2.7,3.3,0,7.7,0,PJ,SV,M,CP,9,ME
PJ-SV-MC014,2,9,1,0.7,14.3,4.3,3,0,13.7,0,PJ,SV,M,CP,14,ME
PJ-SV-MC021,2,9,1,0,16.7,7,7.7,0,4.3,0,PJ,SV,M,CP,21,ME
PJ-SV-MC024,2,9,1,0,17,11,6.7,0,2.3,0,PJ,SV,M,CP,24,ME
PJ-SV-MC025,2,9,1,0.7,13.7,13.3,7,0,5.7,0,PJ,SV,M,CP,25,ME
PJ-SV-MC026,2,9,1,3,9.3,4.3,4.3,0,6.7,0,PJ,SV,M,CP,26,ME
PJ-SV-MC030,2,9,1,4,22,17,7.3,0,1.7,0,PJ,SV,M,CP,30,ME
PJ-SV-MC031,2,9,1,0.3,14.3,14.3,7.7,0,4,0,PJ,SV,M,CP,31,ME
PJ-MC-MC034,3,9,1,0,3.7,12,2.3,11,11,0,PJ,MC,M,CP,34,ME
PJ-MC-MC038,3,9,1,0,14,17.3,5,5,2.7,0,PJ,MC,M,CP,38,ME
PJ-MC-MC041,3,9,1,1,11,16.7,2,3.7,5.7,0,PJ,MC,M,CP,41,ME
PJ-SV-MC001,3,9,1,0.3,8.3,2.7,2.7,0,16.3,0,PJ,SV,M,CP,1,ME
PJ-SV-MC004,3,9,1,0,3,3.3,0.7,0,18,0,PJ,SV,M,CP,4,ME
PJ-SV-MC019,3,9,1,13,10,3,2,0,4.7,0,PJ,SV,M,CP,19,ME
PJ-SV-MC027,3,9,1,37.3,3,6.7,3.7,0,1.7,0,PJ,SV,M,CP,27,ME
PJ-SR-CC006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC029,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC040,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC028,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC040,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC001,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC020,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC026,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-MC037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC015,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC016,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC026,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC030,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PJ-SR-CC032,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
