site,subplot,sp_phase,yst,year,kgha_1h,kgha_10h,kgha_100h,kgha_1000h,kgha_100_1000h,1h,10h,100h,1000h,100h_1000h,duff_litter_load,trt,treatment,TC,TDC,tree_cvr_SS
ON,34,3,6,2012,659.2,3168.64,NA,NA,116.1865683,659.2,3168.64,NA,NA,116.1865683,,Mastication,BM,27,0.27,21.5
ON,4,1,10,2016,620.2666667,1556.8,NA,NA,232,116.3,291.9,NA,NA,43.5,,Mastication,BM,5,0.05,8.3
ON,5,1,10,2016,685.8666667,1497.6,NA,NA,103.4666667,128.6,280.8,NA,NA,19.4,,Mastication,BM,3,0.03,5.3
ON,6,1,10,2016,42.66666667,88,NA,NA,5.333333333,8,16.5,NA,NA,1,,Mastication,BM,6,0.06,7.7
ON,12,1,10,2016,21.33333333,56,NA,NA,0,4,10.5,NA,NA,0,,Mastication,BM,11,0.11,11
ON,10,2,10,2016,361.6,1461.866667,NA,NA,763.7333333,67.8,274.1,NA,NA,143.2,,Mastication,BM,18,0.18,14.9
ON,13,2,10,2016,1460.8,2041.066667,NA,NA,70.4,273.9,382.7,NA,NA,13.2,,Mastication,BM,11,0.11,6.6
ON,18,2,10,2016,1988.266667,4587.2,NA,NA,0,372.8,860.1,NA,NA,0,,Mastication,BM,14,0.14,17.2
ON,22,2,10,2016,882.1333333,2706.133333,NA,NA,217.6,165.4,507.4,NA,NA,40.8,,Mastication,BM,12,0.12,11.2
ON,30,2,10,2016,889.6,2049.066667,NA,NA,0,166.8,384.2,NA,NA,0,,Mastication,BM,8,0.08,8.2
ON,31,2,10,2016,868.8,1084.266667,NA,NA,370.6666667,162.9,203.3,NA,NA,69.5,,Mastication,BM,8,0.08,7.6
ON,17,3,10,2016,4296,4962.133333,NA,NA,188.8,805.5,930.4,NA,NA,35.4,,Mastication,BM,25,0.25,24.2
ON,19,3,10,2016,442.6666667,456,NA,NA,0,83,85.5,NA,NA,0,,Mastication,BM,18,0.18,19.8
ON,24,3,10,2016,202.6666667,458.6666667,NA,NA,90.66666667,38,86,NA,NA,17,,Mastication,BM,18,0.18,23.6
ON,26,3,10,2016,341.3333333,701.3333333,NA,NA,0,64,131.5,NA,NA,0,,Mastication,BM,32,0.32,36
ON,33,3,10,2016,802.6666667,208,NA,NA,18.66666667,150.5,39,NA,NA,3.5,,Mastication,BM,26,0.26,30.7
ON,34,3,10,2016,4494.933333,6158.4,NA,NA,485.3333333,842.8,1154.7,NA,NA,91,,Mastication,BM,27,0.27,21.5
ON,15,NA,10,2016,56,80,NA,NA,0,10.5,15,NA,NA,0,,Mastication,BM,NA,NA,NA
ON,27,NA,10,2016,10.66666667,8,NA,NA,0,2,1.5,NA,NA,0,,Mastication,BM,NA,,NA
ON,36,NA,10,2016,34.66666667,64,NA,NA,5.333333333,6.5,12,NA,NA,1,,Mastication,BM,NA,NA,NA
SC,3,1,1,2008,2161.6,1939.2,0,0,0,2161.6,1939.2,NA,NA,0,,Mastication,BM,6,0.06,
SC,4,1,1,2008,4925.12,2588.48,618.4533333,0,618.4533333,4925.12,2588.48,NA,NA,618.4533333,,Mastication,BM,8,0.08,
SC,5,1,1,2008,3029.76,3136.693333,1507.893333,0,1507.893333,3029.76,3136.693333,NA,NA,1507.893333,,Mastication,BM,13,0.13,
SC,6,1,1,2008,1681.493333,1798.346667,163.0933333,0,163.0933333,1681.493333,1798.346667,NA,NA,163.0933333,,Mastication,BM,9,0.09,
SC,12,1,1,2008,3759.413333,3811.733333,0,0,0,3759.413333,3811.733333,NA,NA,0,,Mastication,BM,12,0.12,
SC,1,2,1,2008,7578.72,5396.533333,1460.8,0,1460.8,7578.72,5396.533333,NA,NA,1460.8,,Mastication,BM,17,0.17,
