Day,Melt_2012,Melt_2014
222,2.19E-05,0.000330021
223,1.87E-05,0.0002969
224,1.60E-05,0.000266703
225,1.36E-05,0.000239192
226,1.16E-05,0.000214145
227,9.82E-06,0.000191358
228,8.33E-06,0.000170644
229,7.04E-06,0.000151827
230,5.94E-06,0.000134745
231,5.00E-06,0.000119251
232,4.20E-06,0.000105207
233,3.51E-06,9.25E-05
234,2.93E-06,8.10E-05
235,2.43E-06,7.06E-05
236,2.01E-06,6.11E-05
237,1.65E-06,5.26E-05
238,1.34E-06,4.50E-05
239,1.09E-06,3.81E-05
240,8.69E-07,3.18E-05
241,6.85E-07,2.62E-05
242,5.30E-07,2.12E-05
243,3.99E-07,1.66E-05
244,2.89E-07,1.25E-05
245,1.97E-07,8.87E-06
246,1.19E-07,5.59E-06
247,5.44E-08,2.64E-06
248,-1.78E-16,-1.74E-16
