"subplot_id","year","speriod","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-ON-MC028","16","001",1.3,1.3,0,0,"JP","ON","M","CP","028","ME","3"
"JP-ON-MC032","16","001",1.3,1.3,0,0,"JP","ON","M","CP","032","ME","3"
"JP-ON-MC033","16","001",1.8,1.8,0,0,"JP","ON","M","CP","033","ME","2"
"JP-ON-MC034","16","001",0.4,0.4,0,0,"JP","ON","M","CP","034","ME","1"
"JP-ON-MC036","16","001",0,0,0,0,"JP","ON","M","CP","036","ME","1"
"JP-ON-MC038","16","001",0.5,0.5,0,0,"JP","ON","M","CP","038","ME","2"
"JP-ON-MC039","16","001",0.8,0.8,0,0,"JP","ON","M","CP","039","ME","2"
"JP-SC-BC001","17","001",4.5,4.5,0,0,"JP","SC","B","CP","001","FI","3"
"JP-SC-BC004","17","001",0,0,0,0,"JP","SC","B","CP","004","FI","2"
"JP-SC-BC005","17","001",0.4,0.4,0,0,"JP","SC","B","CP","005","FI","2"
"JP-SC-BC006","17","001",3,3,0,0,"JP","SC","B","CP","006","FI","1"
"JP-SC-BC007","17","001",0,0,0,0,"JP","SC","B","CP","007","FI","2"
"JP-SC-BC008","17","001",0,0,0,0,"JP","SC","B","CP","008","FI","2"
"JP-SC-BC011","17","001",1.2,1.2,0,0,"JP","SC","B","CP","011","FI","3"
"JP-SC-BC012","17","001",0,0,0,0,"JP","SC","B","CP","012","FI","1"
"JP-SC-BC013","17","001",0.4,0.4,0,0,"JP","SC","B","CP","013","FI","3"
"JP-SC-BC014","17","001",0.1,0.1,0,0,"JP","SC","B","CP","014","FI","2"
"JP-SC-BC015","17","001",0,0,0,0,"JP","SC","B","CP","015","FI","1"
"JP-SC-BC016","17","001",0,0,0,0,"JP","SC","B","CP","016","FI","1"
"JP-SC-BC017","17","001",0.2,0.2,0,0,"JP","SC","B","CP","017","FI","2"
"JP-SC-BC018","17","001",0,0,0,0,"JP","SC","B","CP","018","FI","2"
"JP-SC-BC025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JP-SC-CC001","17","001",19.5,19.5,0,0,"JP","SC","C","CP","001","CO","2"
"JP-SC-CC002","17","001",14,13.5,0.5,0,"JP","SC","C","CP","002","CO","1"
"JP-SC-CC003","17","001",7.8,7,0.8,0,"JP","SC","C","CP","003","CO","1"
"JP-SC-CC004","17","001",15.9,14.4,1.5,0,"JP","SC","C","CP","004","CO","2"
"JP-SC-CC005","17","001",9.5,6.9,2.6,0,"JP","SC","C","CP","005","CO","1"
"JP-SC-CC006","17","001",6.7,5.1,1.6,0,"JP","SC","C","CP","006","CO","1"
"JP-SC-CC007","17","001",21.3,18.6,2.7,0,"JP","SC","C","CP","007","CO","2"
"JP-SC-CC008","17","001",41.6,41.6,0,0,"JP","SC","C","CP","008","CO","3"
"JP-SC-CC009","17","001",36.3,36.3,0,0,"JP","SC","C","CP","009","CO","3"
"JP-SC-CC010","17","001",34.1,33.6,0.5,0,"JP","SC","C","CP","010","CO","2"
"JP-SC-CC011","17","001",39.4,38.1,1.3,0,"JP","SC","C","CP","011","CO","3"
"JP-SC-CC012","17","001",28.9,28.4,0.5,0,"JP","SC","C","CP","012","CO","3"
"JP-SC-CC013","17","001",20.6,20.6,0,0,"JP","SC","C","CP","013","CO","2"
"JP-SC-CC014","17","001",49.7,45.8,3.9,0,"JP","SC","C","CP","014","CO","3"
"JP-SC-GC001","17","001",0.1,0.1,0,0,"JP","SC","G","CP","001","BM","2"
"JP-SC-GC002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"JP-SC-GC003","17","001",0,0,0,0,"JP","SC","G","CP","003","BM","1"
"JP-SC-GC004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"JP-SC-GC005","17","001",0,0,0,0,"JP","SC","G","CP","005","BM","1"
"JP-SC-GC006","17","001",0.1,0.1,0,0,"JP","SC","G","CP","006","BM","1"
"JP-SC-GC007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"JP-SC-GC008","17","001",0,0,0,0,"JP","SC","G","CP","008","BM","3"
"JP-SC-GC009","17","001",0,0,0,0,"JP","SC","G","CP","009","BM","3"
"JP-SC-GC010","17","001",0.1,0.1,0,0,"JP","SC","G","CP","010","BM","2"
"JP-SC-GC011","17","001",0.1,0.1,0,0,"JP","SC","G","CP","011","BM","2"
