"subplot_id","year","speriod","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","tree_ltr_ld","tree_duff_ld","tree_ltr_depth","tree_duff_depth","tree_ltr_bulkd","tree_duff_bulkd","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-ON-BC027","16","001",2661,3970,1592,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","027","FI","2"
"JP-ON-BC031","16","001",3271,6176,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","031","FI","2"
"JP-ON-BC032","16","001",1441,13234,0,483,NA,NA,NA,NA,NA,NA,9.7,9.7,0,0,NA,2848,2848,"JP","ON","B","CP","032","FI","2"
"JP-ON-BC033","16","001",1220,1764,1895,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,2,2,"JP","ON","B","CP","033","FI","2"
"JP-ON-BC035","16","001",3714,8381,5263,0,NA,NA,NA,NA,NA,NA,1.7,1.7,0,0,NA,327,327,"JP","ON","B","CP","035","FI","3"
"JP-ON-BC036","16","001",2938,1764,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","ON","B","CP","036","FI","2"
"JP-ON-BCD01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JP-ON-CC000","16","001",541,441,477,0,NA,NA,NA,NA,NA,NA,15.9,15.9,0,0,18384,NA,18384,"JP","ON","C","CP","000","CO","2"
"JP-ON-CC002","16","001",388,1323,0,0,NA,NA,NA,NA,NA,NA,19.6,19.6,0,0,18897,NA,18897,"JP","ON","C","CP","002","CO","2"
"JP-ON-CC004","16","001",1331,1323,0,0,NA,NA,NA,NA,NA,NA,30.3,30.3,0,0,29504,NA,29504,"JP","ON","C","CP","004","CO","3"
"JP-ON-CC006","16","001",582,1103,322,355,NA,NA,NA,NA,NA,NA,11.5,11.5,0,0,7005,NA,7005,"JP","ON","C","CP","006","CO","1"
"JP-ON-CC008","16","001",513,1544,885,0,NA,NA,NA,NA,NA,NA,15.9,15.9,0,0,21877,NA,21877,"JP","ON","C","CP","008","CO","2"
"JP-ON-CC012","16","001",735,993,266,0,NA,NA,NA,NA,NA,NA,12.5,12.5,0,0,12689,NA,12689,"JP","ON","C","CP","012","CO","1"
"JP-ON-CC013","16","001",333,662,372,0,NA,NA,NA,NA,NA,NA,18.4,18.4,0,0,6835,NA,6835,"JP","ON","C","CP","013","CO","1"
"JP-ON-CC014","16","001",333,993,211,200,NA,NA,NA,NA,NA,NA,2.8,2.8,0,0,2935,NA,2935,"JP","ON","C","CP","014","CO","1"
"JP-ON-CC020","16","001",236,331,211,0,NA,NA,NA,NA,NA,NA,27.1,27.1,0,0,34097,NA,34097,"JP","ON","C","CP","020","CO","2"
"JP-ON-CC024","16","001",402,331,477,0,NA,NA,NA,NA,NA,NA,16.6,16.6,0,0,19178,NA,19178,"JP","ON","C","CP","024","CO","1"
"JP-ON-CC027","16","001",222,551,329,0,NA,NA,NA,NA,NA,NA,14.8,14.8,0,0,16232,NA,16232,"JP","ON","C","CP","027","CO","2"
"JP-ON-CC028","16","001",388,772,0,0,NA,NA,NA,NA,NA,NA,18.1,18.1,0,0,21150,NA,21150,"JP","ON","C","CP","028","CO","2"
"JP-ON-CC029","16","001",402,331,0,0,NA,NA,NA,NA,NA,NA,6.3,6.3,0,0,7379,NA,7379,"JP","ON","C","CP","029","CO","1"
"JP-ON-CC030","16","001",347,772,539,696,NA,NA,NA,NA,NA,NA,23.9,23.9,0,0,20182,NA,20182,"JP","ON","C","CP","030","CO","3"
"JP-ON-CC033","16","001",582,221,161,483,NA,NA,NA,NA,NA,NA,17.7,17.7,0,0,15357,NA,15357,"JP","ON","C","CP","033","CO","2"
"JP-ON-CC035","16","001",180,110,0,0,NA,NA,NA,NA,NA,NA,36.8,36.8,0,0,21154,NA,21154,"JP","ON","C","CP","035","CO","3"
"JP-ON-CC037","16","001",55,0,0,0,NA,NA,NA,NA,NA,NA,32.3,32.3,0,0,21621,NA,21621,"JP","ON","C","CP","037","CO","3"
"JP-ON-CC038","16","001",1026,1764,421,0,NA,NA,NA,NA,NA,NA,15.4,15.4,0,0,9803,NA,9803,"JP","ON","C","CP","038","CO","2"
"JP-ON-GC004","16","001",2356,2206,1066,0,NA,NA,NA,NA,NA,NA,0.3,0.3,0,0,NA,62,62,"JP","ON","G","CP","004","BM","1"
"JP-ON-GC005","16","001",305,882,0,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,NA,145,145,"JP","ON","G","CP","005","BM","1"
"JP-ON-GC006","16","001",721,1103,0,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,NA,72,72,"JP","ON","G","CP","006","BM","1"
